"ID","Sales"
883,124
884,121
885,120
886,119
887,66
888,66
889,70
890,68
891,70
892,70
893,70
894,70
895,73
896,102
897,98
898,97
899,100
900,103
901,65
902,63
903,65
904,64
905,64
906,64
907,64
908,63
909,68
910,103
911,102
912,104
913,113
914,113
915,69
916,64
917,72
918,69
919,66
920,66
921,66
922,66
923,68
924,101
925,101
926,105
927,105
928,105
929,66
930,65
931,72
932,65
933,65
934,65
935,65
936,65
937,69
938,105
939,105
940,107
941,117
942,117
1825,171
1826,169
1827,91
1828,163
1829,92
1830,92
1831,97
1832,91
1833,89
1834,89
1835,90
1836,90
1837,94
1838,141
1839,136
1840,136
1841,136
1842,138
1843,86
1844,84
1845,87
1846,89
1847,90
1848,90
1849,89
1850,90
1851,95
1852,144
1853,144
1854,147
1855,159
1856,159
1857,96
1858,89
1859,100
1860,95
1861,91
1862,91
1863,91
1864,91
1865,94
1866,141
1867,141
1868,147
1869,147
1870,147
1871,93
1872,92
1873,101
1874,91
1875,91
1876,91
1877,91
1878,91
1879,96
1880,146
1881,146
1882,149
1883,163
1884,163
2767,171
2768,166
2769,167
2770,163
2771,122
2772,122
2773,128
2774,123
2775,120
2776,120
2777,120
2778,119
2779,124
2780,150
2781,144
2782,144
2783,144
2784,147
2785,114
2786,111
2787,114
2788,114
2789,114
2790,115
2791,115
2792,115
2793,123
2794,148
2795,148
2796,151
2797,164
2798,164
2799,125
2800,117
2801,132
2802,126
2803,120
2804,120
2805,120
2806,120
2807,124
2808,149
2809,149
2810,155
2811,155
2812,155
2813,122
2814,120
2815,134
2816,120
2817,120
2818,120
2819,120
2820,120
2821,126
2822,153
2823,153
2824,156
2825,171
2826,171
3709,137
3710,135
3711,128
3712,124
3713,73
3714,73
3715,78
3716,75
3717,75
3718,76
3719,76
3720,77
3721,80
3722,118
3723,113
3724,112
3725,112
3726,114
3727,70
3728,69
3729,71
3730,73
3731,75
3732,75
3733,74
3734,74
3735,78
3736,112
3737,112
3738,114
3739,123
3740,123
3741,77
3742,71
3743,80
3744,77
3745,73
3746,72
3747,72
3748,72
3749,74
3750,111
3751,111
3752,115
3753,115
3754,115
3755,72
3756,70
3757,78
3758,70
3759,70
3760,70
3761,70
3762,70
3763,74
3764,114
3765,114
3766,115
3767,127
3768,127
4651,143
4652,140
4653,99
4654,132
4655,96
4656,90
4657,94
4658,90
4659,90
4660,90
4661,90
4662,90
4663,94
4664,120
4665,115
4666,115
4667,115
4668,118
4669,87
4670,85
4671,88
4672,88
4673,87
4674,88
4675,89
4676,90
4677,96
4678,120
4679,121
4680,124
4681,134
4682,134
4683,97
4684,90
4685,101
4686,96
4687,90
4688,90
4689,90
4690,90
4691,93
4692,118
4693,118
4694,123
4695,123
4696,123
4697,92
4698,90
4699,100
4700,90
4701,91
4702,90
4703,89
4704,89
4705,95
4706,122
4707,122
4708,124
4709,134
4710,134
5593,125
5594,122
5595,116
5596,116
5597,81
5598,81
5599,83
5600,79
5601,77
5602,77
5603,78
5604,78
5605,81
5606,109
5607,105
5608,105
5609,105
5610,106
5611,75
5612,73
5613,75
5614,75
5615,75
5616,75
5617,76
5618,76
5619,80
5620,105
5621,103
5622,104
5623,112
5624,113
5625,81
5626,74
5627,84
5628,81
5629,77
5630,77
5631,77
5632,76
5633,79
5634,102
5635,102
5636,106
5637,107
5638,107
5639,76
5640,74
5641,82
5642,74
5643,74
5644,74
5645,74
5646,74
5647,78
5648,104
5649,104
5650,106
5651,117
5652,117
6535,168
6536,165
6537,157
6538,157
6539,114
6540,114
6541,126
6542,120
6543,117
6544,117
6545,117
6546,118
6547,123
6548,144
6549,139
6550,139
6551,139
6552,142
6553,113
6554,111
6555,114
6556,114
6557,114
6558,114
6559,113
6560,114
6561,121
6562,142
6563,142
